FBRD,Brandoberndorf,Hp
FBRE,Breidenbach (Kr Biedenkopf),Anst
FBRG,Bürgeln,Hp
FBRH,Breithardt,Museum
FBRM,Breckenheim Plng NBS,Abzw
FBRO,Bronnzell,Anst
FBRS,Kelsterbach Brunnenschneise Plng N,Abzw
FBRU,Brungershausen,Hp
FBSB,Bad Schwalbach,Bf
FBSD,Bad Sooden-Allendorf,Bf
FBSDB,Bad Sooden-Allendorf Bus,Bush
FBSH,Bad Salzhausen,Hp
FBSN,Bergschneise,Abzw
FBSO,Bad Soden (Taunus),Bf
FBSS,Bad Soden-Salmünster,Bf
FBSSB,Bad Soden-Salmünster Bus,Bush
FBST,Bobstadt,Hp
FBTB,Breitenbach (Herzberg),Bf
FBTG,Battenberg,Anst
FBTL,Baunatal,Bf
FBTV,Battenberg Viessmann,Anst
FBUD,Budenheim,Bf
FBUE,Bürstadt,Bf
FBUG,Burg (Dillkr),Bf
FBUH,Burghaun (Kr Hünfeld),Bf
FBUL,Buhlen,Hp
FBUN,Burg (Dillkr) Nord,Hp
FBUO,Burgsolms-Oberndorf,Tp
FBUP,Bürstadt (Hp),Hp
FBUS,Dreieich-Buchschlag,Bf
FBW,Berstadt-Wohnbach,Hp Anst
FBWD,Bad Wildungen,Bf
FBWDB,Bad Wildungen Busbf,Bush
FBZ,Butzbach,Bf
FBZM,Frankfurt Betriebszentrale NL Mitte,BZ
FBZN,Butzbach Nord,Bf
FBZO,Butzbach Ost,Bf
FCA,Bad Camberg,Bf
FCG,Cornberg,Bf
FCH,Chausseehaus,Museum
FCLD,Caldern,Hp Anst
FCOE,Cölbe,Bf
FCU,Carlshütte,Tp
FCX,Raunheim Caltex Plng NBS,Abzw
FD,Darmstadt Hbf,Bf
FD Z,Darmstadt Hbf ZOB,Bush
FDA,Darmstadt-Arheilgen,Bf
FDAL,Darmstadt Lichtwiese,Hp
FDAU,Daubringen,Tp
FDAU,Daubringen,Bf
FDBT,Dillbrecht,Bf
FDCH,Dreieich-Dreieichenhain,Hp
FDD,Damm (Kr Marburg) Dorf,Hp
FDE,Darmstadt-Eberstadt,Bf
FDET,Dettingen (Main),Bf
FDF,Driedorf,Bf
FDFD,Dransfeld,Tp
FDFD,Dransfeld,Bf
FDG,Groß Gerau-Dornberg,Bf
FDH,Dorheim (Wetterau),Hp
FDI,Dieburg,Bf
FDIE,Dietershan,Üst
FDIK,Dillenburg Kurhaus,Tp
FDIL,Dillenburg,Bf
FDIL1,Dillenburg (Est),Est
FDILS,Dillenburg (Stw Bez Ds),Bft
FDIN,Dillenburg Nord,Awanst
FDIO,Diez Ost,Hp
FDIZ,Diez,Bf
FDK,Darmstadt-Kranichstein,Bf
FDME,Darmstadt Merck,Anst
FDN,Darmstadt Nord,Hp Anst
FDO,Darmstadt Ost,Bf
FDOD,Dodenau,Tp
FDOH,Dornheim,Bf
FDS,Darmstadt Süd,Hp
FDST,Dillenburg Stahlwerk,Awanst
FDSU,Dausenau,Hp Anst
FDTH,Dutenhofen (Kr Wetzlar),Bf
FDU,Dudenhofen (b Offenbach),Hp Anst
FDW,Dortelweil,Hp
FDZ,Dietzenbach (Hess),Bf
FDZS,Dietzenbach (Hess) Stadt,Awanst
FEBS,Eberschütz,Tp
FECH,Eichen (Nidder),Hp
FECK,Eckweisbach,Tpg
FECK,Eckweisbach,Tp
FED,Eddersheim,Hp
FEDI,Edingen (Kr Wetzlar),Hp
FEDN,Ederbringhausen,Anst
FEF,Effolderbach,Hp
FEG,Eschwege,Bf
FEGB,Egelsbach,Hp Anst
FEGN,Ehringen,Hp
FEGW,Eschwege West,Bf
FEGWB,Eschwege West Busbf,Bush
FEH,Eiserne Hand,Museum
FEHH,Ehringshausen (Oberhess),Bf
FEHN,Erdhausen,Hp
FEHR,Ehringshausen (Kr Wetzlar),Bf
FEHS,Essershausen,Tp
FEI,Eiterfeld,Tp
FEIB,Eibelshausen,Bf
FEIF,Eifa (Kreis Alsfeld),Bf
FEIH,Eich (Rheinhess),Anst
FEIM,Eichmühle,Abzw
FEIS,Frankfurt Eiserner Steg,Museum
FEIZ,Eichenzell,Hp
FEK,Erbstadt-Kaichen,Hp
FEKW,Gießen Erdkauterweg,Bf
FEL,Elm,Bf
FELH,Elgershausen,Bf
FELI,Elbingen (Oberwesterwaldkr),Tp
FELS,Elz (Kr Limburg/Lahn) Süd,Hp
FELT,Eltville,Bf
FELTS,Eltville (Schiff),Slst
FELZ,Elz (Kr Limburg/Lahn),Bf
FEMD,Eimelrod,Tp
FEMS,Bad Ems,Bf
FEMT,Emstal,Bf
FEMW,Bad Ems West,Hp
FEN,Eschhofen,Bf
FENS,Enspel,Hp
FEP,Eppstein,Bf
FEPB,Eppstein-Bremthal,Hp
FEPP,Eppelsheim (Rheinhess),Bf
FEPR,Epterode,Anst
FER,Eppertshausen,Bf
FERA,Enspel Adrian,Anst
FERB,Erbach (Rheingau),Hp
FERD,Erdbach,Tp
FERH,Ernsthausen (Kr Frankenberg),Hp Anst
FERN,Erbach (Odw) Nord,Hp
FERO,Erbach (Odenw),Bf
FERO1,Erbach(Odenw),Est
FERS,Ersrode,Üst
FERT,Eisemroth,Hp
FERU,Enspel Uhrmacher,Anst
FERW,Nistertal-Bad Marienberg,Bf
FES,Eschborn,Bf
FESS,Eschborn Süd,Hp
FEST,Eschenstruth,Tp
FET,Elters,Tp
FETZ,Etzen-Gesäß,Tp
FEW,Ewersbach,Bf
FEZ,Erzhausen,Bf
FEZL,Echzell,Bf
FF,Frankfurt (Main) Hbf,Bf
FF B,Frankfurt (Main) Hbf Bushaltestelle,Bush
FF H,Frankfurt (Main) Hoch/Tief,Bft
FFA,Frankfurt/M Abstellanlage,Bft
FFAN,Fachingen (Lahn),Bf
FFAU,Frankfurt (Main) Außenbahnhof,Bf
FFAW,Frankfurt-Höchst Farbwerke,Hp
FFAW,Frankfurt-Höchst Industriepark,Hp
FFAWA,Frankfurt-Höchst Farbwerke Ültg,Bft
FFB,Flammersbach,Anst
FFBK,Frankfurt-Berkersheim,Hp
FFBS,Frankfurt-Frankfurter Berg,Bf
FFD,Flieden,Bf
FFDF,Faßdorf,Abzw
FFES,Frankfurt-Eschersheim,Hp
FFG,Friedberg (Hess),Bf
FFG 1,Friedberg(Hess),Est
FFG 2,Friedberg(Hess),Est
FFG O,Friedberg Ost,Bft
FFG S,Friedberg Süd,Bft
FFGA,Frankfurt (Main) Galluswarte,Bf
FFGI,Frankfurt-Ginnheim,Bf
FFGS,Friedberg (Hess) Industriestammgleis,Awanst
FFH,Flörsheim (Main),Bf
FFHH,Frankfurt-Höchst Hoechst AG,Emst
FFHL,Fehl-Ritzhausen,Bf
FFI,Filsen,Hp
FFID,Frieda,Tp
FFIE,Frielingen (Kr Hersfeld),Tp
FFK,Frankfurter Kreuz,Üst
FFL,Friedlos,Hp
FFLA,Flacht,Tp
FFLF,Frankfurt am Main Flughafen Fernbahnho,Bf
FFLU,Frankfurt am Main Flughafen Regionalbf,Bf
FFLUB,Frankfurt (Main) Flughafen Bus,Bush
FFME,Frankfurt am Main Messe,Hp
FFMK,Frankfurt-Mainkur,Bf
FFMKH,Frankfurt-Mainkur,Museum
FFN,Friedelhausen,Hp
FFND,Frankfurt-Nied,Hp
FFNW,Fürstenwald,Hp Anst
FFO,Frankfurt (Main) Ost,Bf
FFO G,Frankfurt (Main) Ost Gbf,Bft
FFOR,Forsthaus (Frankfurt),Abzw
FFR,Frohnhausen (Dillkr),Anst
FFRA,Framersheim,Hp Anst
FFRD,Friedensdorf (Lahn),Bf
FFRE,Frechenhausen,Tp
FFRF,Frielendorf,Anst
FFRG,Frankenberg-Goßberg,Tp
FFRH,Freimersheim,Hp
FFRI,Friedrichsdorf (Taunus),Bf
FFRJ,Frohnhausen (Dillkr) Jvg,Anst
FFRK,Frankenberg (Eder),Bf
